"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230201195,"1951-01-01","4712-12-31","420F","DS - Phang Nga, Thailand","A","TH","Thailand",," ","Phang Nga",,0,"COMMON","Common Set","NA, PHANG NGA, THAILAND"
300000230196146,"1951-01-01","4712-12-31","0660","DS - Phnom-Penh, Cambodia","A","KH","Cambodia",,,"Phnom-Penh",,0,"COMMON","Common Set","NA, PHNOM-PENH, CAMBODIA"
300000230201318,"1951-01-01","4712-12-31","2469","DS - Phongsaly, Lao People's Democratic Republic","A","LA","Lao People's Democratic Republic",,,"Phongsaly",,0,"COMMON","Common Set","NA, PHONGSALY, LAO PEOPLE'S DEMOCRATIC REPUBLIC"
300000230199832,"1951-01-01","4712-12-31","246E","DS - Phonsavan, Lao People's Democratic Republic","A","LA","Lao People's Democratic Republic",,,"Phonsavan",,0,"COMMON","Common Set","NA, PHONSAVAN, LAO PEOPLE'S DEMOCRATIC REPUBLIC"
300000230203562,"1951-01-01","4712-12-31","420E","DS - Phuket, Thailand","A","TH","Thailand",," ","Phuket",,0,"COMMON","Common Set","NA, PHUKET, THAILAND"
300000230198265,"1951-01-01","4712-12-31","0495","DS - Phuntsholing, Bhutan","A","BT","Bhutan",,,"Phuntsholing",,0,"COMMON","Common Set","NA, PHUNTSHOLING, BHUTAN"
300000230200820,"1951-01-01","4712-12-31","3933","DS - Pietersburg, South Africa","A","ZA","South Africa",," ","Pietersburg","0632",0,"COMMON","Common Set","NA, NA, PIETERSBURG, 0632, SOUTH AFRICA"
300000230195376,"1951-01-01","4712-12-31","1052","DS - Pinar del Rio, Cuba","A","CU","Cuba","Pinar del Rio",,"Pilotos","20100",0,"COMMON","Common Set","NA, Pilotos, Pinar del Rio, Pinar del Rio, 20100, CUBA"
300000230201799,"1951-01-01","4712-12-31","2221","DS - Pisa, Italy","A","IT","Italy",," ","Pisa","56121",0,"COMMON","Common Set","NA, 56121 PISA, ITALY"
300000230193816,"1951-01-01","4712-12-31","177T","DS - Pita, Guinea","A","GN","Guinea",,,"Pita",,0,"COMMON","Common Set","NA, PITA, GUINEA"
300000230194468,"1951-01-01","4712-12-31","093DA","DS - Plato, Colombia","A","CO","Colombia",,,"Plato",,0,"COMMON","Common Set","NA, Plato, COLOMBIA"
300000230205159,"1951-01-01","4712-12-31","520N","DS - Plei can, Viet Nam","A","VN","Viet Nam",," ","Plei can",,0,"COMMON","Common Set","NA, PLEI CAN, VIET NAM"
300000230205644,"2007-01-01","4712-12-31","4951","DS - Podgorica, Montenegro","A","ME","Montenegro",,,"Podgorica",,0,"COMMON","Common Set","NA, PODGORICA, MONTENEGRO"
300000230205094,"1951-01-01","4712-12-31","6932","DS - Pohnpei, Micronesia, Federated States of","A","FM","Micronesia, Federated States of",,,"Pohnpei",,0,"COMMON","Common Set","NA, POHNPEI, MICRONESIA, FEDERATED STATES OF"
300000230198642,"1951-01-01","4712-12-31","3381","DS - Pointe-Noire, Congo-Brazzaville","A","CG","Congo-Brazzaville",,,"Pointe-Noire",,0,"COMMON","Common Set","NA, POINTE-NOIRE, CONGO-BRAZZAVILLE"
300000230199815,"1951-01-01","4712-12-31","2978","DS - Pokhara, Nepal","A","NP","Nepal",,,"Pokhara",,0,"COMMON","Common Set","NA, POKHARA, NEPAL"
300000230194738,"1951-01-01","4712-12-31","093CO","DS - Policarpa, Colombia","A","CO","Colombia",,,"Policarpa",,0,"COMMON","Common Set","NA, Policarpa, COLOMBIA"
300000230195808,"1951-01-01","4712-12-31","078L","DS - Polonnaruwa, Sri Lanka","A","LK","Sri Lanka",," ","Polonnaruwa",,0,"COMMON","Common Set","NA, POLONNARUWA, SRI LANKA"
300000230204391,"1951-01-01","4712-12-31","441W","DS - Poltava, Ukraine","A","UA","Ukraine",,,"Poltava",,0,"COMMON","Common Set","NA, POLTAVA, UKRAINE"
300000230194560,"1951-01-01","4712-12-31","093CA","DS - Pondores, Colombia","A","CO","Colombia",,,"Pondores",,0,"COMMON","Common Set","NA, Pondores, COLOMBIA"
300000230199443,"1951-01-01","4712-12-31","207AB","DS - Pontianak, Indonesia","A","ID","Indonesia",," ","Pontianak",,0,"COMMON","Common Set","NA, PONTIANAK, INDONESIA"
300000230193875,"1951-01-01","4712-12-31","093AR","DS - Popayan, Colombia","A","CO","Colombia",,,"Popayan",,0,"COMMON","Common Set","NA, Popayan, COLOMBIA"
300000230201316,"1951-01-01","4712-12-31","2281","DS - Port Antonio, Jamaica","A","JM","Jamaica",,"Port Antonio","Port Antonio",,0,"COMMON","Common Set","NA, PORT ANTONIO PORT ANTONIO, JAMAICA"
300000230200224,"1951-01-01","4712-12-31","321F","DS - Port Harcourt, Nigeria","A","NG","Nigeria",,,"Port Harcourt",,0,"COMMON","Common Set","NA, PORT HARCOURT, NIGERIA"
300000230200178,"1951-01-01","4712-12-31","2380","DS - Port Loius, Mauritius","A","MU","Mauritius",,,"Port Loius",,0,"COMMON","Common Set","NA, PORT LOIUS, MAURITIUS"
300000230201698,"1951-01-01","4712-12-31","2830","DS - Port Louis, Mauritius","A","MU","Mauritius",,,"Port Louis",,0,"COMMON","Common Set","NA, PORT LOUIS, MAURITIUS"
300000230204368,"1951-01-01","4712-12-31","6490","DS - Port Moresby, Papua New Guinea","A","PG","Papua New Guinea",,,"Port Moresby",,0,"COMMON","Common Set","NA, PORT MORESBY, PAPUA NEW GUINEA"
300000230202776,"1951-01-01","4712-12-31","4290","DS - Port of Spain, Trinidad and Tobago","A","TT","Trinidad and Tobago",,,"Port of Spain",,0,"COMMON","Common Set","NA, PORT OF SPAIN, TRINIDAD AND TOBAGO"
